Heart disease_number,diabetes_number,Two or more races pop,0-9,20-29,30-39,40-49,50-59,80+,Unemployed_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Total Specialist Physicians (2019),STATE_NAME_N
0.17919125303713987,0.15930883081934707,0.10820624546114742,0.0026658324043060517,0.0018765979501282216,0.001876373737958881,0.0020939623960796166,0.0029226892416398605,0.0033906392533857273,0.22175213363483845,0.12399377630895506,0.1980297227832204,0.11123869328752015,0.1913616493050871,0.44
0.3287920860812218,0.30621060831385877,0.15710481723553618,0.0043633245686126995,0.003299138832925624,0.0035489964596596294,0.004352360466701035,0.0060268501495801255,0.008218370640656796,0.32212415201692324,0.2956117042138462,0.44621754994071094,0.23145237911226166,0.3795356093571638,0.76
0.1922075668170774,0.20888039090715954,0.13289760348583876,0.0032402154184595446,0.003983114471832728,0.002897792231226774,0.003293898399492768,0.0038997265673753755,0.004381446916005894,0.18586330148077906,0.20548642469486783,0.09365245584767383,0.2164978738263784,0.17388356297429486,0.28
0.4752690038181187,0.44767367750159337,1.0,0.009238959059071237,0.007446664350354801,0.0075547680734142884,0.00847362214755954,0.009770373257355153,0.00976212195635394,0.4327084397111387,0.27820965308403356,0.5908788586652837,0.8483128858388581,0.385237564234342,0.72
0.7531239153071849,0.7351320727993768,1.0,0.01381995327137611,0.011098387808407184,0.010641662555024427,0.011733448290165266,0.01375815569656406,0.016950389446354644,0.7720475599970823,0.6274031480698361,1.0,0.5634908817187702,0.9682027471013912,0.44
0.9999999999999999,0.9999999999999999,1.0,0.059595962103963326,0.09725748246870893,0.1220981294191831,0.08948930131133746,0.08222197889875028,0.11033330994316189,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.08
0.12374175633460605,0.13749734438070957,0.05954974582425562,0.0020153063969218367,0.0015689694702817403,0.001512818003066919,0.0017502770222625164,0.002247338989838352,0.002245456459195846,0.11787876577430886,0.09779920334653557,0.12610180671469542,0.08104014917649227,0.087103960903489,0.2
0.01371051718153419,0.011613908363430353,0.012345679012345678,0.00029877848430750846,0.00017789788918053296,0.0002257241650702841,0.0002096184499789641,0.00024272792496720874,0.0005164549856150446,0.013130060544168065,0.015581106022153198,0.02504095136931727,0.05227485311666837,0.010388721975814875,0.8200000000000001
0.9999999999999999,0.9999999999999999,1.0,0.05349376330950554,0.04523744230360426,0.0487850513339366,0.057828026949673796,0.07645317073880407,0.08555750473650972,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.76
0.02195418257549462,0.02725019474541463,0.02444928588719438,0.00037574911876899956,0.00036414477677026064,0.0004268117693511862,0.00033553766021367747,0.00039739997810088755,0.00072977334923865,0.02626012108833613,0.022077695683259638,0.02148945459318385,0.024324727305668693,0.020862657140378174,0.62
