Heart disease_number,diabetes_number,Two or more races pop,0-9,20-29,30-39,40-49,50-59,80+,Unemployed_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Total Specialist Physicians (2019),STATE_NAME_N
2102,3148,569,3459,3283,3099,3568,3970,1251,708,14.49997468,5.368760288,0.465804783,54.70084834,35
437,701,173,2139,1460,1460,1358,1085,281,166,4.412028389,2.916983144,0.197389837,13.51023772,44
13919,22842,4125,31293,31905,29370,26561,27382,9595,3909,79.40910767,46.86741577,4.195046799,271.8999931,43
2333,3532,465,3852,4748,4194,4786,5033,1593,811,19.96176468,16.15925232,0.56724135,76.29823722,38
331,409,35,456,367,362,389,554,386,41,2.442297294,1.213132354,0.20842362,4.825808438,34
61,80,6,114,86,140,93,129,65,12,0.552553228,0.274462982,0.047154433,1.091806488,34
1177,1647,209,2054,2365,2493,2357,2619,949,470,7.325842158,3.67842004,0.276029112,31.56474082,13
1518,2330,397,2621,3191,3729,2879,2815,720,476,11.4050856,3.700380989,0.762268835,36.14987581,18
1356,2009,238,1878,1966,1777,1994,2235,787,267,8.529382424,1.798667559,0.339561539,21.32177506,0
6227,10257,1891,12115,13206,12000,11856,12479,3951,1906,44.82338757,30.97142481,1.34982164,119.0449596,10
1420,1994,391,2108,2979,2740,2722,2811,1003,505,8.247853557,4.141376398,0.310769417,35.53739683,13
1022,1468,195,1517,1551,1510,1872,2168,706,311,7.941289336,6.428554797,0.225662798,30.35334737,38
1066,1733,290,1661,1793,1793,1889,2213,627,261,6.890553949,4.761136654,0.207503701,18.30039541,10
3376,4323,687,5294,5421,4752,5264,6360,2041,834,20.22932168,17.31391944,0.659054824,92.9221534,22
12996,19768,4434,21857,25626,21300,21559,25999,9415,4152,84.36806435,72.20913743,2.748642821,387.5395499,22
402,824,47,834,1935,972,881,732,252,112,2.597634403,1.533129072,0.137228565,8.894405151,43
2254,3242,438,2865,2949,2742,3272,3569,1149,457,21.93236583,4.548256797,0.438799943,38.54952888,42
3596,5459,1975,13469,11490,13879,13476,13403,2272,1631,49.29154461,31.01259682,2.173620196,160.5911677,23
3262,4201,482,4593,4366,4242,4610,6084,2101,1004,18.20988274,15.58551728,0.593263148,83.64598398,22
1071,1492,680,1124,1041,1254,1307,1886,664,268,4.884452062,2.508771699,0.113761405,18.62359752,4
4214,6742,2188,12450,12996,12203,9626,9204,2686,1139,34.17550484,30.69834592,2.235316451,69.29480997,12
2982,5185,637,5732,5217,5315,5226,6083,1864,798,20.34484801,14.0575928,0.612669358,54.03321211,10
2899,5103,637,4541,4502,4076,4211,5338,1590,671,15.71102767,7.770329105,0.511108397,47.79233878,40
2280,2905,371,2757,2965,3007,3098,4323,1750,684,12.54024269,10.73297242,0.408550893,57.60283876,22
13013,22417,3811,32451,36166,37260,29146,30219,7254,5072,123.1629523,39.96023028,8.23170324,390.3807112,18
9916,15048,3050,18379,19428,17887,20616,22930,6170,2761,72.07134737,64.81379172,1.711255227,228.8651075,33
2002,3095,653,4291,3987,4011,4028,4666,1528,521,17.26118677,4.224066846,0.659854229,43.52038576,14
7238,12335,2833,20881,20258,21367,20532,20046,5208,2362,80.61188877,19.72691747,3.081601308,203.2456136,14
535,848,140,1430,1043,1205,1120,1117,379,208,3.823630661,2.52796791,0.171065498,11.70848295,44
118,171,57,245,171,236,272,334,61,29,0.555143502,0.349192524,0.029044369,2.037066404,28
10912,17570,3008,26169,25406,28165,30653,29307,6994,3219,111.9605364,23.61012494,4.45723854,279.8792755,0
3256,4917,1659,5983,13818,6413,5516,6072,2367,1290,22.36627484,11.23045676,0.842734917,96.36921642,13
2845,3264,638,3684,3915,4321,4605,5728,2394,663,32.68676722,16.52167507,1.01031826,66.68100514,19
1806,3131,331,2486,3028,2450,2840,3386,1237,400,10.2380332,5.063506281,0.3330619,31.14370117,40
823,1220,228,1161,944,961,1096,1268,598,192,3.985142013,3.579676982,0.260656091,8.08033882,12
4120,5750,1500,8026,7253,7071,6945,8264,2640,1055,26.99203225,23.10200407,0.879378426,123.9862513,22
610,828,170,1179,923,1092,981,1275,670,184,4.796425136,3.017750815,0.211509025,15.62668648,23
78,129,19,100,71,85,97,88,63,13,0.283873737,0.167542853,0.014996562,0.971995145,43
648,1187,238,1852,1533,1675,1262,1358,432,172,4.04252758,2.385907944,0.21355979,13.84177777,43
23631,36610,12527,49793,54658,49947,50218,59477,19374,8842,229.7423808,185.9788029,6.528449777,878.1257044,38
